code	description
L57.8	Other skin changes due to chronic exposure to nonionizing radiation
L57.9	Skin changes due to chronic exposure to nonionizing radiation, unspecified
Z96.611	Presence of right artificial shoulder joint
Z96.612	Presence of left artificial shoulder joint
Z96.641	Presence of right artificial hip joint
Z96.642	Presence of left artificial hip joint
Z96.651	Presence of right artificial knee joint
Z96.652	Presence of left artificial knee joint
S72.001A	Fracture of unspecified part of neck of right femur, initial encounter
S72.002A	Fracture of unspecified part of neck of left femur, initial encounter
G89.29	Other chronic pain
G89.4	Chronic pain syndrome
R10.9	Unspecified abdominal pain
R51.9	Headache, unspecified
J06.9	Acute upper respiratory infection, unspecified
J18.9	Pneumonia, unspecified organism
N18.6	End stage renal disease
I10	Essential (primary) hypertension
I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris
J44.1	Chronic obstructive pulmonary disease with (acute) exacerbation
F32.1	Major depressive disorder, single episode, moderate
F41.1	Generalized anxiety disorder
